category,name,price,weight,quantity
houseware,heater,899.90,7,19
accessories,decorative object,179,0.45,21
electronic,smart 4k tv,8459.99,7.5,25
houseware,barbecue,199.90,5,10
cosmetic,mascara,95,0.13,50
electronic,laptop,11499.99,1.45,20
accessories,circular mirror,390,1.2,9
houseware,wardrobe,949.90,55,15
houseware,central heating boiler,848.90,32,40
accessories,candle holder,279,0.50,23
cosmetic,primer,249,0.24,45
electronic,mouse,59.90,0.35,32
accessories,frame,289.20,0.67,17
cosmetic,eye shadow,197.50,0.34,48
cosmetic,highlighter,212.50,0.23,60
electronic,camera,345,1.1,12
cosmetic,eye liner,79.50,0.15,32
houseware,armchair,850,25,16
cosmetic,lipstick,102.50,0.18,10
cosmetic,balm,279.50,0.12,7
electronic,bluetooth headphone,199.90,0.25,76
